filename,is_drone,date,location,noise_level,noise_type,gain,sr,duration,num
drone_000000.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000001.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000002.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000003.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000004.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000005.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000006.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000007.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000008.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000009.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000010.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000011.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000012.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000013.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000014.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000015.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000016.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000017.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000018.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000019.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000020.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000021.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000022.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000023.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000024.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000025.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000026.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000027.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000028.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000029.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000030.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000031.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000032.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000033.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000034.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000035.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000036.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000037.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000038.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000039.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000040.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000041.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000042.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000043.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000044.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000045.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000046.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000047.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000048.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000049.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000050.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000051.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000052.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000053.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000054.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
drone_000055.pt,True,2025-12-20,ben shemen,mid noise,atv,50,22050,300,1
